reaction_id,flux,absolute_flux
G5SADs,0.1938646192351544,0.1938646192351544
G5SD,0.1938646192351544,0.1938646192351544
GLU5K,0.19386461923515438,0.19386461923515438
Kt2pp,0.17118371727564405,0.17118371727564405
EX_k_e,-0.17118371727564402,0.17118371727564402
Ktex,0.17118371727564402,0.17118371727564402
PHETA1,-0.16247688893081308,0.16247688893081308
PPNDH,0.16247688893081308,0.16247688893081308
NDPK3,0.15873912680292493,0.15873912680292493
CYTK1,0.15873912680292493,0.15873912680292493
CTPS2,0.14077997784588975,0.14077997784588975
METS,0.13537241302173306,0.13537241302173306
MTHFR2,0.13537241302173303,0.13537241302173303
CYSTL,0.1349795182696698,0.1349795182696698
SHSL1,0.13497951826966978,0.13497951826966978
HSST,0.13497951826966975,0.13497951826966975
CTECOAI7,-0.1319249369718207,0.1319249369718207
AACPS4,0.13192493697182067,0.13192493697182067
FACOAE161,0.13192493697182067,0.13192493697182067
G3PD2,-0.12192716872735312,0.12192716872735312
TYRTA,-0.12112997825943901,0.12112997825943901
PPND,0.121129978259439,0.121129978259439
AACPS3,0.11192940048288562,0.11192940048288562
ACOAD7f,-0.1119294004828856,0.1119294004828856
FACOAE160,0.1119294004828856,0.1119294004828856
POR5,0.09537783205500538,0.09537783205500538
IGPDH,0.08308496210038253,0.08308496210038253
HISTD,0.08308496210038253,0.08308496210038253
IG3PS,0.08308496210038253,0.08308496210038253
HISTP,0.08308496210038253,0.08308496210038253
HSTPT,0.08308496210038253,0.08308496210038253
PRMICI,0.08308496210038253,0.08308496210038253
PRATPP,0.08308496210038252,0.08308496210038252
ATPPRT,0.08308496210038252,0.08308496210038252
PRAMPC,0.08308496210038252,0.08308496210038252
G1PACT,0.08286571279677579,0.08286571279677579
GF6PTA,0.08286571279677579,0.08286571279677579
PGAMT,-0.08286571279677579,0.08286571279677579
UAGDP,0.08286571279677578,0.08286571279677578
ACCOAC,0.06825669319885125,0.06825669319885125
MCOATA,0.06825493920442244,0.06825493920442244
FACOAE120,0.06825143121556475,0.06825143121556475
AACPS7,0.06825143121556473,0.06825143121556473
3OAR140,0.06825143121556472,0.06825143121556472
3OAS140,0.06825143121556472,0.06825143121556472
AGPAT161,0.06596246848591034,0.06596246848591034
G3PAT161,0.06596246848591034,0.06596246848591034
PSD161,0.06596246848591032,0.06596246848591032
DASYN161,0.06596246848591032,0.06596246848591032
PSSA161,0.06596246848591032,0.06596246848591032
PE161abcpp,0.06596246848591031,0.06596246848591031
AGPAT160,0.05596470024144282,0.05596470024144282
PE160abcpp,0.05596470024144282,0.05596470024144282
ACPPAT160,0.055964700241442816,0.055964700241442816
APG3PAT160,0.055964700241442816,0.055964700241442816
PSD160,0.055964700241442816,0.055964700241442816
DASYN160,0.055964700241442816,0.055964700241442816
PSSA160,0.055964700241442816,0.055964700241442816
TRPS3,0.049851152659672396,0.049851152659672396
IGPS,0.049851152659672396,0.049851152659672396
TRPAS2,-0.049851152659672396,0.049851152659672396
PRAIi,0.04985115265967239,0.04985115265967239
ANS,0.04985115265967238,0.04985115265967238
ANPRT,0.049851152659672375,0.049851152659672375
GLYCL,0.047540703498260506,0.047540703498260506
ALAR,0.036554997891745065,0.036554997891745065
UHGADA,0.03412571560778237,0.03412571560778237
UAGAAT,0.03412571560778237,0.03412571560778237
U23GAAT,0.03412571560778236,0.03412571560778236
KDOCT2,0.03412571560778235,0.03412571560778235
A5PISO,0.03412571560778235,0.03412571560778235
KDOPS,0.03412571560778235,0.03412571560778235
KDOPP,0.034125715607782346,0.034125715607782346
UAAGDS,0.024369998594496713,0.024369998594496713
UAMAGS,0.024369998594496713,0.024369998594496713
UGMDDS,0.024369998594496713,0.024369998594496713
GLUR,-0.024369998594496713,0.024369998594496713
UAGPT3,0.024369998594496713,0.024369998594496713
ALAALAr,0.024369998594496713,0.024369998594496713
PAPPT3,0.024369998594496713,0.024369998594496713
UAMAS,0.02436999859449671,0.02436999859449671
UAGCVT,0.02436999859449671,0.02436999859449671
UDCPDP,0.02436999859449671,0.02436999859449671
UAPGR,0.02436999859449671,0.02436999859449671
RNTR3c2,0.023693833742173518,0.023693833742173518
RNTR2c2,0.023693833742173518,0.023693833742173518
DHFR,0.023534220249147756,0.023534220249147756
NDPK4,0.02294750911269617,0.02294750911269617
DTMPK,0.02294750911269617,0.02294750911269617
TMDS,0.022947509112696166,0.022947509112696166
RNTR4c2,0.022947509112696166,0.022947509112696166
RNTR1c2,0.022947509112696166,0.022947509112696166
DUTPDP,0.022947509112696163,0.022947509112696163
K2L4Aabctex,0.01706285780389118,0.01706285780389118
K2L4Aabcpp,0.01706285780389118,0.01706285780389118
